epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.006,1.38592,3.22517,1.39772,0.55455,0.40822,0.41488,0.24427,1.38733,2.79434,1.50059,0.000166481,0.000166481,0.000166481
2,497.337,1.40192,2.24398,1.42151,0.53585,0.47579,0.49551,0.28609,1.44683,2.41368,1.5654,0.000329025,0.000329025,0.000329025
3,709.534,1.38975,2.02301,1.42223,0.57449,0.48284,0.50653,0.29687,1.43342,2.16779,1.55454,0.000487444,0.000487444,0.000487444
4,903.333,1.37915,1.89025,1.40869,0.60661,0.51408,0.53128,0.31876,1.40779,1.925,1.51971,0.000481438,0.000481438,0.000481438
5,1092.9,1.34667,1.75227,1.38407,0.63686,0.54705,0.58562,0.34842,1.38658,1.78075,1.49711,0.00047525,0.00047525,0.00047525
6,1280.99,1.31355,1.63758,1.36416,0.65993,0.56213,0.60799,0.36808,1.35498,1.64741,1.47798,0.000469063,0.000469063,0.000469063
7,1578.53,1.29392,1.56309,1.35426,0.68216,0.56051,0.61299,0.37513,1.36396,1.56993,1.4926,0.000462875,0.000462875,0.000462875
8,1787.48,1.28184,1.50462,1.34078,0.67585,0.57243,0.62198,0.3738,1.36359,1.60018,1.48152,0.000456687,0.000456687,0.000456687
9,2003.79,1.2598,1.45783,1.32575,0.69783,0.58822,0.63977,0.39314,1.33289,1.51738,1.44965,0.0004505,0.0004505,0.0004505
10,2215.63,1.2469,1.42118,1.31785,0.70558,0.58793,0.64718,0.40449,1.33208,1.50899,1.4538,0.000444312,0.000444312,0.000444312
11,2424.7,1.22988,1.38428,1.30745,0.72236,0.60468,0.66283,0.4212,1.30001,1.42293,1.43745,0.000438125,0.000438125,0.000438125
12,2641.81,1.22439,1.35562,1.29651,0.66753,0.64201,0.66468,0.42278,1.27052,1.44273,1.41358,0.000431938,0.000431938,0.000431938
13,2858.56,1.20794,1.31602,1.29082,0.71701,0.6238,0.67575,0.43181,1.27655,1.34322,1.40209,0.00042575,0.00042575,0.00042575
14,3059.96,1.20154,1.30163,1.28205,0.74541,0.61623,0.68385,0.43029,1.26884,1.32325,1.39924,0.000419563,0.000419563,0.000419563
15,3258.97,1.17994,1.26936,1.26783,0.7151,0.64143,0.68131,0.43798,1.25429,1.34411,1.38376,0.000413375,0.000413375,0.000413375
16,3456.26,1.17258,1.24931,1.26556,0.71384,0.62217,0.68473,0.44459,1.24066,1.30065,1.36756,0.000407187,0.000407187,0.000407187
17,3652.04,1.15866,1.23249,1.25569,0.74983,0.64093,0.69336,0.45315,1.24376,1.2973,1.39755,0.000401,0.000401,0.000401
18,3848.18,1.15051,1.20585,1.2523,0.76053,0.64584,0.70952,0.46238,1.23689,1.26787,1.37413,0.000394813,0.000394813,0.000394813
19,4040.08,1.147,1.19383,1.24746,0.75021,0.62802,0.70034,0.45478,1.23335,1.2605,1.36488,0.000388625,0.000388625,0.000388625
20,4237.93,1.13453,1.17017,1.23848,0.7291,0.65182,0.69551,0.4546,1.22945,1.24313,1.36297,0.000382438,0.000382438,0.000382438
21,4431.36,1.12317,1.14738,1.22663,0.76704,0.64754,0.71163,0.4716,1.208,1.22718,1.35113,0.00037625,0.00037625,0.00037625
22,4622.71,1.12279,1.13289,1.22965,0.70002,0.66588,0.69721,0.46105,1.22616,1.27573,1.35174,0.000370063,0.000370063,0.000370063
23,4814.86,1.11674,1.13147,1.2258,0.76761,0.66008,0.71054,0.47351,1.19982,1.20896,1.33194,0.000363875,0.000363875,0.000363875
24,5012,1.1094,1.11889,1.22515,0.75818,0.66888,0.71756,0.47868,1.18463,1.20231,1.32173,0.000357687,0.000357687,0.000357687
25,5204.58,1.09429,1.10554,1.21956,0.74653,0.66988,0.71383,0.47941,1.18806,1.23016,1.34116,0.0003515,0.0003515,0.0003515
26,5399.38,1.09014,1.08459,1.21095,0.74436,0.65495,0.71341,0.47387,1.19493,1.18428,1.33352,0.000345313,0.000345313,0.000345313
27,5592.9,1.0826,1.07248,1.2054,0.73887,0.68018,0.71257,0.47831,1.19392,1.19251,1.33127,0.000339125,0.000339125,0.000339125
